state,date,registrations
Malaysia,2021-02-23,665856
Malaysia,2021-02-24,758573
Malaysia,2021-02-25,563325
Malaysia,2021-02-26,408630
Malaysia,2021-02-27,354525
Malaysia,2021-02-28,235100
Malaysia,2021-03-01,295175
Malaysia,2021-03-02,248022
Malaysia,2021-03-03,299194
Malaysia,2021-03-04,416404
Malaysia,2021-03-05,213664
Malaysia,2021-03-06,162944
Malaysia,2021-03-07,149305
Malaysia,2021-03-08,130722
Malaysia,2021-03-09,120746
Malaysia,2021-03-10,108461
Malaysia,2021-03-11,94900
Malaysia,2021-03-12,95101
Malaysia,2021-03-13,94503
Malaysia,2021-03-14,88858
Malaysia,2021-03-15,98685
Malaysia,2021-03-16,107471
Malaysia,2021-03-17,123353
Malaysia,2021-03-18,87418
Malaysia,2021-03-19,69064
Malaysia,2021-03-20,86827
Malaysia,2021-03-21,103784
Malaysia,2021-03-22,107728
Malaysia,2021-03-23,102006
Malaysia,2021-03-24,84073
Malaysia,2021-03-25,78077
Malaysia,2021-03-26,66620
Malaysia,2021-03-27,59907
Malaysia,2021-03-28,64634
Malaysia,2021-03-29,81887
Malaysia,2021-03-30,78037
Malaysia,2021-03-31,68515
Malaysia,2021-04-01,109801
Malaysia,2021-04-02,135593
Malaysia,2021-04-03,88625
Malaysia,2021-04-04,87127
Malaysia,2021-04-05,90247
Malaysia,2021-04-06,82058
Malaysia,2021-04-07,70104
Malaysia,2021-04-08,61468
Malaysia,2021-04-09,55527
Malaysia,2021-04-10,51613
Malaysia,2021-04-11,56919
Malaysia,2021-04-12,59742
Malaysia,2021-04-13,54962
Malaysia,2021-04-14,52902
Malaysia,2021-04-15,55785
Malaysia,2021-04-16,53438
Malaysia,2021-04-17,42341
Malaysia,2021-04-18,41130
Malaysia,2021-04-19,48580
Malaysia,2021-04-20,43285
Malaysia,2021-04-21,36295
Malaysia,2021-04-22,34768
Malaysia,2021-04-23,26240
Malaysia,2021-04-24,23769
Malaysia,2021-04-25,24678
Malaysia,2021-04-26,24430
Malaysia,2021-04-27,24158
Malaysia,2021-04-28,27890
Malaysia,2021-04-29,24758
Malaysia,2021-04-30,23412
Malaysia,2021-05-01,22194
Malaysia,2021-05-02,55139
Malaysia,2021-05-03,48914
Malaysia,2021-05-04,44658
Malaysia,2021-05-05,41075
Malaysia,2021-05-06,36499
Malaysia,2021-05-07,33466
Malaysia,2021-05-08,30381
Malaysia,2021-05-09,29653
Malaysia,2021-05-10,37140
Malaysia,2021-05-11,30313
Malaysia,2021-05-12,23865
Malaysia,2021-05-13,22659
Malaysia,2021-05-14,20810
Malaysia,2021-05-15,26022
Malaysia,2021-05-16,34840
Malaysia,2021-05-17,48594
Malaysia,2021-05-18,54643
Malaysia,2021-05-19,70898
Malaysia,2021-05-20,73557
Malaysia,2021-05-21,66372
Malaysia,2021-05-22,67320
Malaysia,2021-05-23,121486
Malaysia,2021-05-24,135034
Malaysia,2021-05-25,201159
Malaysia,2021-05-26,243095
Malaysia,2021-05-27,276174
Malaysia,2021-05-28,190954
Malaysia,2021-05-29,143974
Malaysia,2021-05-30,148333
Malaysia,2021-05-31,143820
Malaysia,2021-06-01,138805
Malaysia,2021-06-02,166441
Malaysia,2021-06-03,148027
Malaysia,2021-06-04,143429
Malaysia,2021-06-05,169652
Malaysia,2021-06-06,172120
Malaysia,2021-06-07,119486
Malaysia,2021-06-08,156597
Malaysia,2021-06-09,131137
Malaysia,2021-06-10,114902
